Hash value, hash_sumASCII
0, 5
1, 8
2, 8
3, 12
4, 7
5, 7
6, 16
7, 6
8, 7
9, 8
10, 11
11, 14
12, 9
13, 17
14, 14
15, 8
16, 11
17, 6
18, 7
19, 18
20, 10
21, 14
22, 2
23, 6
24, 12
25, 18
26, 16
27, 8
28, 15
29, 7
30, 10
31, 17
32, 9
33, 13
34, 10
35, 10
36, 14
37, 11
38, 14
39, 16
40, 13
41, 20
42, 9
43, 10
44, 17
45, 13
46, 16
47, 16
48, 16
49, 23
50, 26
51, 23
52, 15
53, 28
54, 10
55, 22
56, 19
57, 26
58, 29
59, 19
60, 19
61, 24
62, 17
63, 19
64, 20
65, 15
66, 27
67, 27
68, 20
69, 20
70, 12
71, 15
72, 12
73, 22
74, 15
75, 20
76, 18
77, 15
78, 15
79, 12
80, 13
81, 8
82, 10
83, 6
84, 9
85, 6
86, 7
87, 7
88, 7
89, 6
90, 8
91, 2
92, 4
93, 3
94, 3
95, 4
96, 8
97, 3
98, 4
99, 4
100, 5
101, 1
102, 4
103, 5
104, 4
105, 3
106, 8
107, 6
108, 5
109, 6
110, 8
111, 4
112, 2
113, 7
114, 4
115, 5
116, 10
117, 3
118, 5
119, 4
120, 4
121, 14
122, 8
123, 11
124, 10
125, 5
126, 4
127, 7
128, 8
129, 2
130, 5
131, 9
132, 7
133, 5
134, 16
135, 12
136, 10
137, 9
138, 24
139, 10
140, 16
141, 19
142, 11
143, 12
144, 15
145, 15
146, 13
147, 15
148, 14
149, 11
150, 11
151, 16
152, 15
153, 18
154, 15
155, 16
156, 22
157, 18
158, 17
159, 19
160, 21
161, 22
162, 25
163, 22
164, 17
165, 26
166, 16
167, 17
168, 22
169, 22
170, 28
171, 20
172, 19
173, 21
174, 19
175, 11
176, 18
177, 16
178, 24
179, 18
180, 21
181, 14
182, 14
183, 13
184, 13
185, 12
186, 11
187, 6
188, 13
189, 18
190, 9
191, 5
192, 4
193, 6
194, 5
195, 7
196, 3
197, 5
198, 3
199, 3
200, 4
201, 6
202, 2
203, 4
204, 5
205, 5
206, 2
207, 4
208, 3
209, 2
210, 5
211, 5
212, 3
213, 5
214, 2
215, 8
216, 2
217, 3
218, 5
219, 6
220, 3
221, 7
222, 5
223, 3
224, 4
225, 5
226, 9
227, 10
228, 5
229, 2
230, 1
231, 5
232, 10
233, 7
234, 4
235, 5
236, 2
237, 4
238, 6
239, 14
240, 8
241, 9
242, 9
243, 6
244, 6
245, 5
246, 6
247, 10
248, 10
249, 7
250, 11
251, 18
252, 13
253, 10
254, 14
255, 6
256, 17
257, 14
258, 16
259, 14
260, 12
261, 12
262, 22
263, 26
264, 15
265, 22
266, 24
267, 17
268, 17
269, 16
270, 22
271, 20
272, 21
273, 14
274, 24
275, 29
276, 19
277, 19
278, 18
279, 12
280, 27
281, 21
282, 16
283, 25
284, 20
285, 15
286, 19
287, 9
288, 17
289, 18
290, 11
291, 16
292, 9
293, 13
294, 17
295, 13
296, 11
297, 5
298, 14
299, 13
300, 6
301, 5
302, 11
303, 13
304, 7
305, 10
306, 10
307, 8
308, 7
309, 9
310, 7
311, 8
312, 12
313, 7
314, 8
315, 8
316, 6
317, 8
318, 7
319, 9
320, 10
321, 8
322, 7
323, 5
324, 6
325, 8
326, 4
327, 14
328, 9
329, 4
330, 15
331, 10
332, 6
333, 7
334, 9
335, 5
336, 10
337, 4
338, 11
339, 3
340, 6
341, 5
342, 7
343, 10
344, 5
345, 4
346, 5
347, 1
348, 9
349, 11
350, 4
351, 12
352, 8
353, 6
354, 11
355, 3
356, 5
357, 11
358, 8
359, 4
360, 7
361, 11
362, 7
363, 9
364, 8
365, 7
366, 10
367, 8
368, 8
369, 14
370, 8
371, 12
372, 13
373, 22
374, 16
375, 11
376, 8
377, 16
378, 7
379, 10
380, 21
381, 18
382, 18
383, 16
384, 16
385, 24
386, 14
387, 16
388, 19
389, 18
390, 22
391, 19
392, 8
393, 18
394, 15
395, 14
396, 13
397, 12
398, 16
399, 11
400, 11
401, 12
402, 9
403, 10
404, 17
405, 11
406, 12
407, 9
408, 10
409, 12
410, 15
411, 12
412, 17
413, 9
414, 17
415, 23
416, 14
417, 14
418, 22
419, 11
420, 11
421, 11
422, 19
423, 16
424, 22
425, 20
426, 26
427, 25
428, 18
429, 15
430, 15
431, 12
432, 18
433, 17
434, 23
435, 20
436, 21
437, 19
438, 12
439, 16
440, 19
441, 15
442, 19
443, 11
444, 17
445, 14
446, 9
447, 12
448, 16
449, 6
450, 14
451, 13
452, 10
453, 5
454, 10
455, 2
456, 4
457, 6
458, 5
459, 2
460, 6
461, 2
462, 5
463, 9
464, 6
465, 4
466, 6
467, 4
468, 6
469, 4
470, 5
471, 8
472, 3
473, 4
474, 8
475, 7
476, 5
477, 5
478, 7
